// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 3,29s and exited with 0
// ***** Done, took 00:00:05 (5.47 sec)   *****
// Found 14 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CECUFN(Jit=RyuJit, Platform=X64, Server=True)

WorkloadResult   6: 13 op, 540556500.00 ns, 41.5813 ms/op
WorkloadResult   7: 13 op, 530896200.00 ns, 40.8382 ms/op
WorkloadResult   8: 13 op, 530771000.00 ns, 40.8285 ms/op
WorkloadResult   9: 13 op, 537647700.00 ns, 41.3575 ms/op
WorkloadResult  10: 13 op, 532088100.00 ns, 40.9299 ms/op
WorkloadResult  11: 13 op, 535788900.00 ns, 41.2145 ms/op
WorkloadResult  12: 13 op, 531357800.00 ns, 40.8737 ms/op
WorkloadResult  13: 13 op, 530754300.00 ns, 40.8273 ms/op
WorkloadResult  14: 13 op, 531144900.00 ns, 40.8573 ms/op
WorkloadResult  15: 13 op, 532979800.00 ns, 40.9984 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 41.0026 ms, StdErr = 0.0582 ms (0.14%); N = 15, StdDev = 0.2252 ms
Min = 40.8273 ms, Q1 = 40.8498 ms, Median = 40.8983 ms, Q3 = 41.1436 ms, Max = 41.5813 ms
IQR = 0.2938 ms, LowerFence = 40.4091 ms, UpperFence = 41.5843 ms
ConfidenceInterval = [40.7618 ms; 41.2434 ms] (CI 99.9%), Margin = 0.2408 ms (0.59% of Mean)
Skewness = 1.3, Kurtosis = 3.49, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.For2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 3 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-HOAHQE(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 449800.00 ns, 449.8000 us/op
WorkloadJitting  1: 1 op, 86628500.00 ns, 86.6285 ms/op

WorkloadPilot    1: 2 op, 171575400.00 ns, 85.7877 ms/op
WorkloadPilot    2: 3 op, 256983200.00 ns, 85.6611 ms/op
WorkloadPilot    3: 4 op, 340007700.00 ns, 85.0019 ms/op
WorkloadPilot    4: 5 op, 425419500.00 ns, 85.0839 ms/op
WorkloadPilot    5: 6 op, 512162700.00 ns, 85.3605 ms/op

WorkloadWarmup   1: 6 op, 510238800.00 ns, 85.0398 ms/op
WorkloadWarmup   2: 6 op, 509567900.00 ns, 84.9280 ms/op
WorkloadWarmup   3: 6 op, 510655800.00 ns, 85.1093 ms/op
WorkloadWarmup   4: 6 op, 509817800.00 ns, 84.9696 ms/op
WorkloadWarmup   5: 6 op, 509956400.00 ns, 84.9927 ms/op
WorkloadWarmup   6: 6 op, 512525000.00 ns, 85.4208 ms/op
WorkloadWarmup   7: 6 op, 509564700.00 ns, 84.9275 ms/op

// BeforeActualRun
WorkloadActual   1: 6 op, 509819700.00 ns, 84.9700 ms/op
WorkloadActual   2: 6 op, 509846000.00 ns, 84.9743 ms/op
WorkloadActual   3: 6 op, 512455200.00 ns, 85.4092 ms/op
WorkloadActual   4: 6 op, 509561400.00 ns, 84.9269 ms/op
WorkloadActual   5: 6 op, 511788200.00 ns, 85.2980 ms/op
WorkloadActual   6: 6 op, 517320500.00 ns, 86.2201 ms/op
WorkloadActual   7: 6 op, 511568700.00 ns, 85.2615 ms/op
WorkloadActual   8: 6 op, 522143700.00 ns, 87.0240 ms/op
WorkloadActual   9: 6 op, 529418300.00 ns, 88.2364 ms/op
WorkloadActual  10: 6 op, 530017800.00 ns, 88.3363 ms/op
WorkloadActual  11: 6 op, 515610600.00 ns, 85.9351 ms/op
WorkloadActual  12: 6 op, 516125800.00 ns, 86.0210 ms/op
WorkloadActual  13: 6 op, 512080400.00 ns, 85.3467 ms/op
WorkloadActual  14: 6 op, 518907700.00 ns, 86.4846 ms/op
WorkloadActual  15: 6 op, 521655300.00 ns, 86.9426 ms/op

// AfterActualRun
WorkloadResult   1: 6 op, 509819700.00 ns, 84.9700 ms/op
WorkloadResult   2: 6 op, 509846000.00 ns, 84.9743 ms/op
WorkloadResult   3: 6 op, 512455200.00 ns, 85.4092 ms/op
WorkloadResult   4: 6 op, 509561400.00 ns, 84.9269 ms/op
WorkloadResult   5: 6 op, 511788200.00 ns, 85.2980 ms/op
WorkloadResult   6: 6 op, 517320500.00 ns, 86.2201 ms/op
WorkloadResult   7: 6 op, 511568700.00 ns, 85.2615 ms/op
WorkloadResult   8: 6 op, 522143700.00 ns, 87.0240 ms/op
WorkloadResult   9: 6 op, 529418300.00 ns, 88.2364 ms/op
WorkloadResult  10: 6 op, 530017800.00 ns, 88.3363 ms/op
WorkloadResult  11: 6 op, 515610600.00 ns, 85.9351 ms/op
WorkloadResult  12: 6 op, 516125800.00 ns, 86.0210 ms/op
WorkloadResult  13: 6 op, 512080400.00 ns, 85.3467 ms/op
WorkloadResult  14: 6 op, 518907700.00 ns, 86.4846 ms/op
WorkloadResult  15: 6 op, 521655300.00 ns, 86.9426 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 86.0924 ms, StdErr = 0.2898 ms (0.34%); N = 15, StdDev = 1.1223 ms
Min = 84.9269 ms, Q1 = 85.2615 ms, Median = 85.9351 ms, Q3 = 86.9426 ms, Max = 88.3363 ms
IQR = 1.6811 ms, LowerFence = 82.7398 ms, UpperFence = 89.4642 ms
ConfidenceInterval = [84.8926 ms; 87.2923 ms] (CI 99.9%), Margin = 1.1998 ms (1.39% of Mean)
Skewness = 0.77, Kurtosis = 2.28, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForEach" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 4 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KLDTFB(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 494900.00 ns, 494.9000 us/op
WorkloadJitting  1: 1 op, 28536400.00 ns, 28.5364 ms/op

OverheadJitting  2: 16 op, 644000.00 ns, 40.2500 us/op
WorkloadJitting  2: 16 op, 461032600.00 ns, 28.8145 ms/op

WorkloadPilot    1: 16 op, 453966000.00 ns, 28.3729 ms/op
